"timestamp","device","event_type","message"
"2025-07-24 09:55:10","site1-router","vrrp-state-change","VRRP group 1 on eth1 changed state from master to backup"
"2025-07-24 09:55:15","site2-router","vrrp-state-change","VRRP group 1 on eth1 changed state from master to backup"
"2025-07-24 09:56:20","site3-router","vrrp-state-change","VRRP group 1 on eth1 changed state from master to backup"
"2025-07-24 09:57:05","site4-router","vrrp-state-change","VRRP group 1 on eth1 changed state from master to backup"
"2025-07-24 10:01:30","site1-router","vpn-tunnel-down","VPN tunnel to hub-router is down"
"2025-07-24 10:01:35","site2-router","vpn-tunnel-down","VPN tunnel to hub-router is down"
"2025-07-24 10:02:40","site3-router","vpn-tunnel-down","VPN tunnel to hub-router is down"
"2025-07-24 10:03:15","site4-router","vpn-tunnel-down","VPN tunnel to hub-router is down"
"2025-07-24 10:05:00","site1-router","vrrp-state-change","VRRP group 1 on eth1 changed state from backup to master"
"2025-07-24 10:05:05","site2-router","vrrp-state-change","VRRP group 1 on eth1 changed state from backup to master"
"2025-07-24 10:06:10","site3-router","vrrp-state-change","VRRP group 1 on eth1 changed state from backup to master"
"2025-07-24 10:06:55","site4-router","vrrp-state-change","VRRP group 1 on eth1 changed state from backup to master"
"2025-07-24 10:10:00","site1-router","vpn-tunnel-up","VPN tunnel to hub-router is up"
"2025-07-24 10:10:05","site2-router","vpn-tunnel-up","VPN tunnel to hub-router is up"
"2025-07-24 10:11:10","site3-router","vpn-tunnel-up","VPN tunnel to hub-router is up"
"2025-07-24 10:11:55","site4-router","vpn-tunnel-up","VPN tunnel to hub-router is up"
